COLE_COD_MCPIO_UBICACION,COLE_MCPIO_UBICACION,COLE_DEPTO_UBICACION
5873,Vigía Del Fuerte,Antioquia
5885,Yalí,Antioquia
5887,Yarumal,Antioquia
5890,Yolombó,Antioquia
5893,Yondó,Antioquia
5895,Zaragoza,Antioquia
8001,Barranquilla,Atlantico
8078,Baranoa,Atlantico
8137,Campo De La Cruz,Atlantico
8141,Candelaria,Atlantico
8296,Galapa,Atlantico
8372,Juan De Acosta,Atlantico
8421,Luruaco,Atlantico
8433,Malambo,Atlantico
8436,Manatí,Atlantico
8520,Palmar De Varela,Atlantico
8549,Piojó,Atlantico
8558,Polonuevo,Atlantico
8560,Ponedera,Atlantico
8573,Puerto Colombia,Atlantico
8606,Repelón,Atlantico
8634,Sabanagrande,Atlantico
8638,Sabanalarga,Atlantico
8675,Santa Lucía,Atlantico
8685,Santo Tomás,Atlantico
8758,Soledad,Atlantico
8770,Suan,Atlantico
8832,Tubará,Atlantico
8849,Usiacurí,Atlantico
11001,Bogotá D.C.,Cundinamarca
13001,Cartagena De Indias,Bolivar
13006,Achí,Bolivar
13030,Altos Del Rosario,Bolivar
13042,Arenal,Bolivar
13052,Arjona,Bolivar
13074,Barranco De Loba,Bolivar
13140,Calamar,Bolivar
13188,Cicuco,Bolivar
13244,El Carmen De Bolívar,Bolivar
13248,El Guamo,Bolivar
13430,Magangué,Bolivar
13433,Mahates,Bolivar
13440,Margarita,Bolivar
13442,María La Baja,Bolivar
13468,Mompós,Bolivar
13549,Pinillos,Bolivar
13580,Regidor,Bolivar
13600,Río Viejo,Bolivar
13647,San Estanislao,Bolivar
13650,San Fernando,Bolivar
13654,San Jacinto,Bolivar
13655,San Jacinto Del Cauca,Bolivar
13657,San Juan Nepomuceno,Bolivar
13667,San Martín De Loba,Bolivar
13670,San Pablo,Bolivar
13673,Santa Catalina,Bolivar
13683,Santa Rosa,Bolivar
13688,Santa Rosa Del Sur,Bolivar
13744,Simití,Bolivar
13760,Soplaviento,Bolivar
13780,Talaigua Nuevo,Bolivar
13836,Turbaco,Bolivar
13838,Turbaná,Bolivar
13873,Villanueva,Bolivar
13894,Zambrano,Bolivar
15001,Tunja,Boyaca
15022,Almeida,Boyaca
15047,Aquitania,Boyaca
15051,Arcabuco,Boyaca
15087,Belén,Boyaca
15090,Berbeo,Boyaca
15097,Boavita,Boyaca
15104,Boyacá,Boyaca
15106,Briceño,Boyaca
15109,Buenavista,Boyaca
15114,Busbanzá,Boyaca
15131,Caldas,Boyaca
15135,Campohermoso,Boyaca
15162,Cerinza,Boyaca
15172,Chinavita,Boyaca
15176,Chiquinquirá,Boyaca
15180,Chiscas,Boyaca
15183,Chita,Boyaca
15185,Chitaraque,Boyaca
15187,Chivatá,Boyaca
15189,Ciénega,Boyaca
15204,Cómbita,Boyaca
15212,Coper,Boyaca
15215,Corrales,Boyaca
15218,Covarachía,Boyaca
15223,Cubará,Boyaca
15224,Cucaita,Boyaca
15226,Cuítiva,Boyaca
15236,Chivor,Boyaca
15238,Duitama,Boyaca
15244,El Cocuy,Boyaca
15248,El Espino,Boyaca
15272,Firavitoba,Boyaca
15276,Floresta,Boyaca
15296,Gámeza,Boyaca
15299,Garagoa,Boyaca
15317,Guacamayas,Boyaca
15322,Guateque,Boyaca
15325,Guayatá,Boyaca
15332,Güicán De La Sierra,Boyaca
15362,Iza,Boyaca
15367,Jenesano,Boyaca
15368,Jericó,Boyaca
15377,Labranzagrande,Boyaca
15380,La Capilla,Boyaca
15401,La Victoria,Boyaca
15403,La Uvita,Boyaca
15407,Villa De Leyva,Boyaca
15425,Macanal,Boyaca
15455,Miraflores,Boyaca
15464,Mongua,Boyaca
15466,Monguí,Boyaca
15469,Moniquirá,Boyaca
15476,Motavita,Boyaca
15480,Muzo,Boyaca
15491,Nobsa,Boyaca
15494,Nuevo Colón,Boyaca
15500,Oicatá,Boyaca
15507,Otanche,Boyaca
15511,Pachavita,Boyaca
15514,Páez,Boyaca
15516,Paipa,Boyaca
15518,Pajarito,Boyaca
15522,Panqueba,Boyaca
15531,Pauna,Boyaca
15533,Paya,Boyaca
15537,Paz De Río,Boyaca
15542,Pesca,Boyaca
15550,Pisba,Boyaca
15572,Puerto Boyacá,Boyaca
15599,Ramiriquí,Boyaca
15600,Ráquira,Boyaca
15621,Rondón,Boyaca
15632,Saboyá,Boyaca
15638,Sáchica,Boyaca
15646,Samacá,Boyaca
15660,San Eduardo,Boyaca
15664,San José De Pare,Boyaca
15667,San Luis De Gaceno,Boyaca
15673,San Mateo,Boyaca
15676,San Miguel De Sema,Boyaca
15681,San Pablo De Borbur,Boyaca
15686,Santana,Boyaca
15690,Santa María,Boyaca
15693,Santa Rosa De Viterbo,Boyaca
15696,Santa Sofía,Boyaca
15720,Sativanorte,Boyaca
15723,Sativasur,Boyaca
15740,Siachoque,Boyaca
15753,Soatá,Boyaca
15755,Socotá,Boyaca
15757,Socha,Boyaca
15759,Sogamoso,Boyaca
15762,Sora,Boyaca
15763,Sotaquirá,Boyaca
15764,Soracá,Boyaca
15774,Susacón,Boyaca
15778,Sutatenza,Boyaca
15790,Tasco,Boyaca
15798,Tenza,Boyaca
15804,Tibaná,Boyaca
15806,Tibasosa,Boyaca
15808,Tinjacá,Boyaca
15810,Tipacoque,Boyaca
15814,Toca,Boyaca
15816,Togüí,Boyaca
15820,Tópaga,Boyaca
15822,Tota,Boyaca
15832,Tununguá,Boyaca
15835,Turmequé,Boyaca
15837,Tuta,Boyaca
15839,Tutazá,Boyaca
15842,Úmbita,Boyaca
15861,Ventaquemada,Boyaca
15879,Viracachá,Boyaca
15897,Zetaquira,Boyaca
17001,Manizales,Caldas
17013,Aguadas,Caldas
17042,Anserma,Caldas
17050,Aranzazu,Caldas
17088,Belalcázar,Caldas
17174,Chinchiná,Caldas
17272,Filadelfia,Caldas
17380,La Dorada,Caldas
17388,La Merced,Caldas
17433,Manzanares,Caldas
17442,Marmato,Caldas
17444,Marquetalia,Caldas
17446,Marulanda,Caldas
17486,Neira,Caldas
17495,Norcasia,Caldas
17513,Pácora,Caldas
17524,Palestina,Caldas
17541,Pensilvania,Caldas
17614,Riosucio,Caldas
17616,Risaralda,Caldas
17653,Salamina,Caldas
17662,Samaná,Caldas
17777,Supía,Caldas
17867,Victoria,Caldas
17873,Villamaría,Caldas
17877,Viterbo,Caldas
18001,Florencia,Caqueta
18029,Albania,Caqueta
18094,Belén De Los Andaquíes,Caqueta
18150,Cartagena Del Chairá,Caqueta
18205,Curillo,Caqueta
18247,El Doncello,Caqueta
18256,El Paujíl,Caqueta
18410,La Montañita,Caqueta
18460,Milán,Caqueta
18479,Morelia,Caqueta
18592,Puerto Rico,Caqueta
18610,San José Del Fragua,Caqueta
18753,San Vicente Del Caguán,Caqueta
18756,Solano,Caqueta
18860,Valparaíso,Caqueta
19001,Popayán,Cauca
19022,Almaguer,Cauca
19050,Argelia,Cauca
19075,Balboa,Cauca
19100,Bolívar,Cauca
19110,Buenos Aires,Cauca
19130,Cajibío,Cauca
19137,Caldono,Cauca
19142,Caloto,Cauca
19212,Corinto,Cauca
19256,El Tambo,Cauca
19318,Guapí,Cauca
19355,Inzá,Cauca
19364,Jambaló,Cauca
19392,La Sierra,Cauca
19397,La Vega,Cauca
19418,López De Micay,Cauca
19450,Mercaderes,Cauca
19455,Miranda,Cauca
19473,Morales,Cauca
19513,Padilla,Cauca
19517,Páez,Cauca
19532,Patía,Cauca
19548,Piendamó - Tunía,Cauca
19573,Puerto Tejada,Cauca
19585,Puracé,Cauca
19622,Rosas,Cauca
19693,San Sebastián,Cauca
19698,Santander De Quilichao,Cauca
19701,Santa Rosa,Cauca
19743,Silvia,Cauca
19760,Sotara,Cauca
19780,Suárez,Cauca
19807,Timbío,Cauca
19809,Timbiquí,Cauca
19821,Toribío,Cauca
19824,Totoró,Cauca
20001,Valledupar,Cesar
20011,Aguachica,Cesar
20013,Agustín Codazzi,Cesar
20032,Astrea,Cesar
20045,Becerril,Cesar
20060,Bosconia,Cesar
20175,Chimichagua,Cesar
20178,Chiriguaná,Cesar
20228,Curumaní,Cesar
20238,El Copey,Cesar
20250,El Paso,Cesar
20295,Gamarra,Cesar
20310,González,Cesar
20383,La Gloria,Cesar
20400,La Jagua De Ibirico,Cesar
20443,Manaure Balcón Del Cesar,Cesar
20517,Pailitas,Cesar
20550,Pelaya,Cesar
20570,Pueblo Bello,Cesar
20614,Río De Oro,Cesar
20621,La Paz,Cesar
20710,San Alberto,Cesar
20750,San Diego,Cesar
20770,San Martín,Cesar
20787,Tamalameque,Cesar
23001,Montería,Cordoba
23068,Ayapel,Cordoba
23079,Buenavista,Cordoba
23090,Canalete,Cordoba
23162,Cereté,Cordoba
23168,Chimá,Cordoba
23182,Chinú,Cordoba
23189,Ciénaga De Oro,Cordoba
23417,Lorica,Cordoba
23419,Los Córdobas,Cordoba
23464,Momil,Cordoba
23466,Montelíbano,Cordoba
23500,Moñitos,Cordoba
23555,Planeta Rica,Cordoba
23570,Pueblo Nuevo,Cordoba
23574,Puerto Escondido,Cordoba
23580,Puerto Libertador,Cordoba
23586,Purísima De La Concepción,Cordoba
23660,Sahagún,Cordoba
23670,San Andrés De Sotavento,Cordoba
23672,San Antero,Cordoba
23675,San Bernardo Del Viento,Cordoba
23678,San Carlos,Cordoba
23686,San Pelayo,Cordoba
23807,Tierralta,Cordoba
23815,Tuchín,Cordoba
23855,Valencia,Cordoba
25001,Agua De Dios,Cundinamarca
25019,Albán,Cundinamarca
25035,Anapoima,Cundinamarca
25040,Anolaima,Cundinamarca
25053,Arbeláez,Cundinamarca
25086,Beltrán,Cundinamarca
25095,Bituima,Cundinamarca
25099,Bojacá,Cundinamarca
25120,Cabrera,Cundinamarca
25123,Cachipay,Cundinamarca
25126,Cajicá,Cundinamarca
25148,Caparrapí,Cundinamarca
25151,Cáqueza,Cundinamarca
25154,Carmen De Carupa,Cundinamarca
25168,Chaguaní,Cundinamarca
25175,Chía,Cundinamarca
25178,Chipaque,Cundinamarca
25181,Choachí,Cundinamarca
25183,Chocontá,Cundinamarca
25200,Cogua,Cundinamarca
25214,Cota,Cundinamarca
25224,Cucunubá,Cundinamarca
25245,El Colegio,Cundinamarca
25258,El Peñón,Cundinamarca
25260,El Rosal,Cundinamarca
25269,Facatativá,Cundinamarca
25279,Fómeque,Cundinamarca
25281,Fosca,Cundinamarca
25286,Funza,Cundinamarca
25288,Fúquene,Cundinamarca
25290,Fusagasugá,Cundinamarca
25293,Gachalá,Cundinamarca
25295,Gachancipá,Cundinamarca
25297,Gachetá,Cundinamarca
25299,Gama,Cundinamarca
25307,Girardot,Cundinamarca
25317,Guachetá,Cundinamarca
25320,Guaduas,Cundinamarca
25322,Guasca,Cundinamarca
25324,Guataquí,Cundinamarca
25326,Guatavita,Cundinamarca
25328,Guayabal De Síquima,Cundinamarca
25335,Guayabetal,Cundinamarca
25339,Gutiérrez,Cundinamarca
25368,Jerusalén,Cundinamarca
25372,Junín,Cundinamarca
25377,La Calera,Cundinamarca
25386,La Mesa,Cundinamarca
25394,La Palma,Cundinamarca
25398,La Peña,Cundinamarca
25402,La Vega,Cundinamarca
25407,Lenguazaque,Cundinamarca
25426,Machetá,Cundinamarca
25430,Madrid,Cundinamarca
25436,Manta,Cundinamarca
25438,Medina,Cundinamarca
25473,Mosquera,Cundinamarca
25483,Nariño,Cundinamarca
25486,Nemocón,Cundinamarca
25488,Nilo,Cundinamarca
25489,Nimaima,Cundinamarca
25491,Nocaima,Cundinamarca
25506,Venecia,Cundinamarca
25513,Pacho,Cundinamarca
25518,Paime,Cundinamarca
25524,Pandi,Cundinamarca
25530,Paratebueno,Cundinamarca
25535,Pasca,Cundinamarca
25572,Puerto Salgar,Cundinamarca
25580,Pulí,Cundinamarca
25592,Quebradanegra,Cundinamarca
25594,Quetame,Cundinamarca
25596,Quipile,Cundinamarca
25599,Apulo,Cundinamarca
25612,Ricaurte,Cundinamarca
25645,San Antonio Del Tequendama,Cundinamarca
25649,San Bernardo,Cundinamarca
25653,San Cayetano,Cundinamarca
25658,San Francisco,Cundinamarca
25662,San Juan De Rioseco,Cundinamarca
25718,Sasaima,Cundinamarca
25736,Sesquilé,Cundinamarca
25740,Sibaté,Cundinamarca
25743,Silvania,Cundinamarca
25745,Simijaca,Cundinamarca
25754,Soacha,Cundinamarca
25758,Sopó,Cundinamarca
25769,Subachoque,Cundinamarca
25772,Suesca,Cundinamarca
25777,Supatá,Cundinamarca
25779,Susa,Cundinamarca
25781,Sutatausa,Cundinamarca
25785,Tabio,Cundinamarca
25793,Tausa,Cundinamarca
25797,Tena,Cundinamarca
25799,Tenjo,Cundinamarca
25805,Tibacuy,Cundinamarca
25807,Tibirita,Cundinamarca
25815,Tocaima,Cundinamarca
25817,Tocancipá,Cundinamarca
25823,Topaipí,Cundinamarca
25839,Ubalá,Cundinamarca
25841,Ubaque,Cundinamarca
25843,Villa De San Diego De Ubaté,Cundinamarca
25845,Une,Cundinamarca
25851,Útica,Cundinamarca
25862,Vergara,Cundinamarca
25867,Vianí,Cundinamarca
25871,Villagómez,Cundinamarca
25873,Villapinzón,Cundinamarca
25875,Villeta,Cundinamarca
25878,Viotá,Cundinamarca
25885,Yacopí,Cundinamarca
25898,Zipacón,Cundinamarca
25899,Zipaquirá,Cundinamarca
27001,Quibdó,Choco
27006,Acandí,Choco
27025,Alto Baudó,Choco
27073,Bagadó,Choco
27075,Bahía Solano,Choco
27077,Bajo Baudó,Choco
27086,Belén De Bajirá,Choco
27099,Bojayá,Choco
27135,El Cantón Del San Pablo,Choco
27150,Carmen Del Darién,Choco
27205,Condoto,Choco
27245,El Carmen De Atrato,Choco
27361,Istmina,Choco
27372,Juradó,Choco
27413,Lloró,Choco
27430,Medio Baudó,Choco
27491,Nóvita,Choco
27495,Nuquí,Choco
27600,Río Quito,Choco
27615,Riosucio,Choco
27660,San José Del Palmar,Choco
27745,Sipí,Choco
27787,Tadó,Choco
27800,Unguía,Choco
41001,Neiva,Huila
41006,Acevedo,Huila
41013,Agrado,Huila
41016,Aipe,Huila
41020,Algeciras,Huila
41026,Altamira,Huila
41078,Baraya,Huila
41132,Campoalegre,Huila
41206,Colombia,Huila
41244,Elías,Huila
41298,Garzón,Huila
41306,Gigante,Huila
41319,Guadalupe,Huila
41349,Hobo,Huila
41357,Íquira,Huila
41359,Isnos,Huila
41378,La Argentina,Huila
41396,La Plata,Huila
41483,Nátaga,Huila
41503,Oporapa,Huila
41518,Paicol,Huila
41524,Palermo,Huila
41530,Palestina,Huila
41548,Pital,Huila
41551,Pitalito,Huila
41615,Rivera,Huila
41660,Saladoblanco,Huila
41668,San Agustín,Huila
41676,Santa María,Huila
41770,Suaza,Huila
41791,Tarqui,Huila
41797,Tesalia,Huila
41799,Tello,Huila
41801,Teruel,Huila
41807,Timaná,Huila
41872,Villavieja,Huila
41885,Yaguará,Huila
44001,Riohacha,La Guajira
44078,Barrancas,La Guajira
44110,El Molino,La Guajira
44279,Fonseca,La Guajira
44378,Hatonuevo,La Guajira
44430,Maicao,La Guajira
44560,Manaure,La Guajira
44650,San Juan Del Cesar,La Guajira
44847,Uribia,La Guajira
44855,Urumita,La Guajira
44874,Villanueva,La Guajira
47001,Santa Marta,Magdalena
47030,Algarrobo,Magdalena
47053,Aracataca,Magdalena
47058,Ariguaní,Magdalena
47161,Cerro De San Antonio,Magdalena
47170,Chivolo,Magdalena
47189,Ciénaga,Magdalena
47245,El Banco,Magdalena
47258,El Piñón,Magdalena
47268,El Retén,Magdalena
47288,Fundación,Magdalena
47318,Guamal,Magdalena
47541,Pedraza,Magdalena
47545,Pijiño Del Carmen,Magdalena
47551,Pivijay,Magdalena
47555,Plato,Magdalena
47570,Puebloviejo,Magdalena
47605,Remolino,Magdalena
47675,Salamina,Magdalena
47692,San Sebastián De Buenavista,Magdalena
47703,San Zenón,Magdalena
47707,Santa Ana,Magdalena
47720,Santa Bárbara De Pinto,Magdalena
47745,Sitionuevo,Magdalena
47798,Tenerife,Magdalena
50001,Villavicencio,Meta
50006,Acacías,Meta
50124,Cabuyaro,Meta
50150,Castilla La Nueva,Meta
50223,Cubarral,Meta
50226,Cumaral,Meta
50245,El Calvario,Meta
50251,El Castillo,Meta
50287,Fuentedeoro,Meta
50313,Granada,Meta
50318,Guamal,Meta
50325,Mapiripán,Meta
50330,Mesetas,Meta
50350,La Macarena,Meta
50370,Uribe,Meta
50400,Lejanías,Meta
50450,Puerto Concordia,Meta
50568,Puerto Gaitán,Meta
50573,Puerto López,Meta
50577,Puerto Lleras,Meta
50590,Puerto Rico,Meta
50606,Restrepo,Meta
50680,San Carlos De Guaroa,Meta
50683,San Juan De Arama,Meta
50686,San Juanito,Meta
50689,San Martín,Meta
50711,Vistahermosa,Meta
52001,Pasto,Nariño
52019,Albán,Nariño
52022,Aldana,Nariño
52036,Ancuyá,Nariño
52051,Arboleda,Nariño
52079,Barbacoas,Nariño
52083,Belén,Nariño
52110,Buesaco,Nariño
52203,Colón,Nariño
52207,Consacá,Nariño
52210,Contadero,Nariño
52215,Córdoba,Nariño
52224,Cuaspúd,Nariño
52227,Cumbal,Nariño
52233,Cumbitara,Nariño
52250,El Charco,Nariño
52256,El Rosario,Nariño
52258,El Tablón De Gómez,Nariño
52260,El Tambo,Nariño
52317,Guachucal,Nariño
52320,Guaitarilla,Nariño
52323,Gualmatán,Nariño
52352,Iles,Nariño
52354,Imués,Nariño
52356,Ipiales,Nariño
52378,La Cruz,Nariño
52381,La Florida,Nariño
52399,La Unión,Nariño
52405,Leiva,Nariño
52411,Linares,Nariño
52418,Los Andes,Nariño
52427,Magüí,Nariño
52435,Mallama,Nariño
52473,Mosquera,Nariño
52490,Olaya Herrera,Nariño
52506,Ospina,Nariño
52520,Francisco Pizarro,Nariño
52540,Policarpa,Nariño
52560,Potosí,Nariño
52573,Puerres,Nariño
52585,Pupiales,Nariño
52612,Ricaurte,Nariño
52621,Roberto Payán,Nariño
52678,Samaniego,Nariño
52683,Sandoná,Nariño
52687,San Lorenzo,Nariño
52693,San Pablo,Nariño
52696,Santa Bárbara,Nariño
52699,Santacruz,Nariño
52720,Sapuyes,Nariño
52786,Taminango,Nariño
52788,Tangua,Nariño
52835,San Andrés De Tumaco,Nariño
52838,Túquerres,Nariño
52885,Yacuanquer,Nariño
54001,Cúcuta,Norte Santander
54003,Ábrego,Norte Santander
54051,Arboledas,Norte Santander
54099,Bochalema,Norte Santander
54109,Bucarasica,Norte Santander
54125,Cácota,Norte Santander
54128,Cáchira,Norte Santander
54172,Chinácota,Norte Santander
54174,Chitagá,Norte Santander
54206,Convención,Norte Santander
54223,Cucutilla,Norte Santander
54239,Durania,Norte Santander
54245,El Carmen,Norte Santander
54250,El Tarra,Norte Santander
54261,El Zulia,Norte Santander
54313,Gramalote,Norte Santander
54344,Hacarí,Norte Santander
54347,Herrán,Norte Santander
54377,Labateca,Norte Santander
54398,La Playa,Norte Santander
54405,Los Patios,Norte Santander
54418,Lourdes,Norte Santander
54480,Mutiscua,Norte Santander
54498,Ocaña,Norte Santander
54518,Pamplona,Norte Santander
54520,Pamplonita,Norte Santander
54599,Ragonvalia,Norte Santander
54660,Salazar,Norte Santander
54670,San Calixto,Norte Santander
54673,San Cayetano,Norte Santander
54680,Santiago,Norte Santander
54720,Sardinata,Norte Santander
54743,Silos,Norte Santander
54800,Teorama,Norte Santander
54810,Tibú,Norte Santander
54820,Toledo,Norte Santander
54871,Villa Caro,Norte Santander
54874,Villa Del Rosario,Norte Santander
63001,Armenia,Quindio
63111,Buenavista,Quindio
63130,Calarcá,Quindio
63190,Circasia,Quindio
63212,Córdoba,Quindio
63272,Filandia,Quindio
63302,Génova,Quindio
63401,La Tebaida,Quindio
63470,Montenegro,Quindio
63548,Pijao,Quindio
63594,Quimbaya,Quindio
63690,Salento,Quindio
66001,Pereira,Risaralda
66045,Apía,Risaralda
66075,Balboa,Risaralda
66088,Belén De Umbría,Risaralda
66170,Dosquebradas,Risaralda
66318,Guática,Risaralda
66383,La Celia,Risaralda
66400,La Virginia,Risaralda
66440,Marsella,Risaralda
66456,Mistrató,Risaralda
66572,Pueblo Rico,Risaralda
66594,Quinchía,Risaralda
66682,Santa Rosa De Cabal,Risaralda
66687,Santuario,Risaralda
68001,Bucaramanga,Santander
68013,Aguada,Santander
68020,Albania,Santander
68051,Aratoca,Santander
68077,Barbosa,Santander
68079,Barichara,Santander
68081,Barrancabermeja,Santander
68092,Betulia,Santander
68101,Bolívar,Santander
68121,Cabrera,Santander
68132,California,Santander
68147,Capitanejo,Santander
68152,Carcasí,Santander
68160,Cepitá,Santander
68162,Cerrito,Santander
68167,Charalá,Santander
68169,Charta,Santander
68176,Chima,Santander
68179,Chipatá,Santander
68190,Cimitarra,Santander
68207,Concepción,Santander
68209,Confines,Santander
68211,Contratación,Santander
68217,Coromoro,Santander
68229,Curití,Santander
68235,El Carmen De Chucurí,Santander
68245,El Guacamayo,Santander
68250,El Peñón,Santander
68255,El Playón,Santander
68264,Encino,Santander
68266,Enciso,Santander
68271,Florián,Santander
68276,Floridablanca,Santander
68296,Galán,Santander
68298,Gámbita,Santander
68307,Girón,Santander
68318,Guaca,Santander
68320,Guadalupe,Santander
68322,Guapotá,Santander
68324,Guavatá,Santander
68327,Güepsa,Santander
68344,Hato,Santander
68368,Jesús María,Santander
68370,Jordán,Santander
68377,La Belleza,Santander
68385,Landázuri,Santander
68397,La Paz,Santander
68406,Lebrija,Santander
68418,Los Santos,Santander
68425,Macaravita,Santander
68432,Málaga,Santander
68444,Matanza,Santander
68464,Mogotes,Santander
68468,Molagavita,Santander
68498,Ocamonte,Santander
68500,Oiba,Santander
68502,Onzaga,Santander
68522,Palmar,Santander
68524,Palmas Del Socorro,Santander
68533,Páramo,Santander
68547,Piedecuesta,Santander
68549,Pinchote,Santander
68572,Puente Nacional,Santander
68573,Puerto Parra,Santander
68575,Puerto Wilches,Santander
68615,Rionegro,Santander
68655,Sabana De Torres,Santander
68669,San Andrés,Santander
68673,San Benito,Santander
68679,San Gil,Santander
68682,San Joaquín,Santander
68684,San José De Miranda,Santander
68686,San Miguel,Santander
68689,San Vicente De Chucurí,Santander
68705,Santa Bárbara,Santander
68720,Santa Helena Del Opón,Santander
68745,Simacota,Santander
68755,Socorro,Santander
68770,Suaita,Santander
68773,Sucre,Santander
68780,Suratá,Santander
68820,Tona,Santander
68855,Valle De San José,Santander
68861,Vélez,Santander
68867,Vetas,Santander
68872,Villanueva,Santander
68895,Zapatoca,Santander
70001,Sincelejo,Sucre
70110,Buenavista,Sucre
70124,Caimito,Sucre
70204,Colosó,Sucre
70215,Corozal,Sucre
70221,Coveñas,Sucre
70230,Chalán,Sucre
70235,Galeras,Sucre
70265,Guaranda,Sucre
70400,La Unión,Sucre
70418,Los Palmitos,Sucre
70429,Majagual,Sucre
70473,Morroa,Sucre
70508,Ovejas,Sucre
70523,Palmito,Sucre
70670,Sampués,Sucre
70678,San Benito Abad,Sucre
70702,San Juan De Betulia,Sucre
70708,San Marcos,Sucre
70713,San Onofre,Sucre
70717,San Pedro,Sucre
70742,San Luis De Sincé,Sucre
70771,Sucre,Sucre
70820,Santiago De Tolú,Sucre
70823,Tolú Viejo,Sucre
73001,Ibagué,Tolima
73024,Alpujarra,Tolima
73026,Alvarado,Tolima
73030,Ambalema,Tolima
73043,Anzoátegui,Tolima
73055,Armero,Tolima
73067,Ataco,Tolima
73124,Cajamarca,Tolima
73148,Carmen De Apicalá,Tolima
73152,Casabianca,Tolima
73168,Chaparral,Tolima
73200,Coello,Tolima
73217,Coyaima,Tolima
73226,Cunday,Tolima
73236,Dolores,Tolima
73268,Espinal,Tolima
73270,Falan,Tolima
73275,Flandes,Tolima
73283,Fresno,Tolima
73319,Guamo,Tolima
73347,Herveo,Tolima
73349,Honda,Tolima
73352,Icononzo,Tolima
73408,Lérida,Tolima
73411,Líbano,Tolima
73443,San Sebastián De Mariquita,Tolima
73449,Melgar,Tolima
73483,Natagaima,Tolima
73504,Ortega,Tolima
73520,Palocabildo,Tolima
73547,Piedras,Tolima
73555,Planadas,Tolima
73563,Prado,Tolima
