 Secretaría; Cód; Departamento; CódMun; Municipio; Código; Nombre;  Dirección; Teléfono; Nombre Rector; Tipo Establecimiento; Sector; Zona; Jornadas; Niveles; Grados;No. Sede; Cal; Correo Electrónico
ANTIOQUIA;5;ANTIOQUIA;5282;FREDONIA;105282000403;I. E. ESCUELA NORMAL SUPERIOR MARIANO OSPINA RODRIGUEZ;KR 51 48 31;8403250 -8403607;PATIÑO PEREZ ELKIN;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,COMPLETA,TARDE,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,12,13,21,22,23,24,25,26,99;1;A;nmor@edatel.net.co
ANTIOQUIA;5;ANTIOQUIA;5002;ABEJORRAL;205002000033;C. E. R.  RITA BOTERO;CORREG. EL GUAICO;864 76 11; LEIDY JOHANA LEON TABARES;CENTRO EDUCATIVO;OFICIAL;;;;;0;A;ritabitero@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5002;ABEJORRAL;205002000076;C. E. R. LA LABOR;VDA LA LABOR;864 76 11;MONTOYA DEL RIO SILVIA FANNY;CENTRO EDUCATIVO;OFICIAL;;;;;0;A;cerlalabor12@tarenet.edu.co
TURBO;5;ANTIOQUIA;5837;TURBO;205837000492;I.E. EL DOS;CORREG. EL DOS;8244545;PLINIO ANTONIO CUESTA PEREA;INSTITUCION EDUCATIVA;OFICIAL;RURAL;MAÑANA,TARDE,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,20,21,22,23,24,25,26;13;A;ieldos@turboeducado.edu.co
TURBO;5;ANTIOQUIA;5837;TURBO;205837000531;I.E. CENTRAL;CLL CENTRAL;8206500;LEONEL PALOMEQUE PARRA;INSTITUCION EDUCATIVA;OFICIAL;RURAL;MAÑANA,NOCTURNA,TARDE,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,20,21,22,23,24,25,26,99;5;A;iecentral@turboeducado.edu.co
ANTIOQUIA;5;ANTIOQUIA;5154;CAUCASIA;105154000409;I. E. MARCO FIDEL SUAREZ;KR 12 12 63;8392969 y 8391992;ALFONSO ENRIQUE MONTES ORTEGA;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,NOCTURNA,TARDE,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,15,21,22,99;2;A;iemfscaucasia@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5138;CAÑASGORDAS;205138000142;I. E. R. BUENOS AIRES;VDA BUENOS AIRES;856-47-04;FLOREZ OSPINA ALVARO DE JESUS;INSTITUCION EDUCATIVA;OFICIAL;RURAL;COMPLETA,NOCTURNA,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21;11;A;inerba@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5134;CAMPAMENTO;105134000046;I. E.  NUESTRA SEÑORA DEL ROSARIO;CL 12 16 58; 8614118 - 8614119 ;VERGARA ADARVE OLGA REGINA;INSTITUCION EDUCATIVA;OFICIAL;RURAL,URBANA;COMPLETA,NOCTURNA,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99;11;A; ienuestrasenorar2011@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5376;LA CEJA;205376000495;C. E. R. EL TAMBO;VDA. EL TAMBO;553 75 47;AYALA MUÑOZ MARIA LUZ DARY (DR);CENTRO EDUCATIVO;OFICIAL;RURAL;COMPLETA;PREESCOLAR,BÁSICA PRIMARIA;0,1,2,3,4,5;5;A;
ANTIOQUIA;5;ANTIOQUIA;5059;ARMENIA;105059000116;I. E. ROSA MESA DE MEJIA;KR 7 10 13;855-91-58 ;HIGUITA CAMPO PIEDAD DEL SOCORRO;INSTITUCION EDUCATIVA;OFICIAL;RURAL,URBANA;COMPLETA,NOCTURNA,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99;6;A;rosamesademejia@gmail.com
ANTIOQUIA;5;ANTIOQUIA;5591;PUERTO TRIUNFO;205591000072;I. E. R. ESTACION COCORNA;CL. 10 10-31;3136333295;MONTOYA GOMEZ LUZ ANGELA;INSTITUCION EDUCATIVA;OFICIAL;RURAL;COMPLETA,NOCTURNA,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26;1;A;estacioncocorna@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5002;ABEJORRAL;205002000084;C. E. R. LOS RASTROJOS;VDA. LOS RASTROJOS;864 76 11;OSORIO V. MARIA CONSUELO;CENTRO EDUCATIVO;OFICIAL;;;;;0;A;consuos@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5051;ARBOLETES;205051002700;I. E. R. GUADUAL ARRIBA;CORREG.GUADUAL ARRIBA ;8201289;LINEY MARIA MORENO PAJARO;INSTITUCION EDUCATIVA;OFICIAL;RURAL;MAÑANA,COMPLETA,NOCTURNA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,22;9;A;arboletesierguadualar@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5364;JARDÍN;205364000171;I. E.  DE DESARROLLO RURAL MIGUEL VALENCIA;VDA. VERDUN;842 39 11 ;ROLDAN GOMEZ JHON JAIRO;INSTITUCION EDUCATIVA;OFICIAL;RURAL;COMPLETA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11;4;A; iemiguelvalencia@tareanet.edu.co 
ANTIOQUIA;5;ANTIOQUIA;5120;CÁCERES;205120001044;C. E. R. SANTA INES DEL MONTE;VDA. ISLA LA AMARGURA;3014831578;MAZO ARDILA JOSE ARGEMIRO;INSTITUCION EDUCATIVA;OFICIAL;RURAL;COMPLETA,FIN DE SEMANA;PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,21,22;3;A;argemiromazo@hotmail.com
ANTIOQUIA;5;ANTIOQUIA;5368;JERICÓ;105368000015;I. E. SAN JOSE;KR 4 8 41;8523237  8523449;VELEZ VELASQUEZ DADIER ALBERTO;INSTITUCION EDUCATIVA;OFICIAL;RURAL,URBANA;COMPLETA,NOCTURNA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99;8;A;liceosanjose100@hotmail.com
ANTIOQUIA;5;ANTIOQUIA;5642;SALGAR;205642000293;C. E. R. PEÑALISA;CORREG. PEÑALISA;3218452549;ALBA NURY PEREZ CANO;CENTRO EDUCATIVO;OFICIAL;RURAL;COMPLETA,FIN DE SEMANA;PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,21;10;A;cerpenalisa@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5138;CAÑASGORDAS;305138000015;I. E. SEMINARIO SAN PIO X;KR 26 47 128;856-41-06;G0MEZ LOPEZ LUIS ALBERTO;INSTITUCION EDUCATIVA;OFICIAL;RURAL,URBANA;COMPLETA,NOCTURNA,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,22;13;A;iesanpiox@tareanet.edu.co
TURBO;5;ANTIOQUIA;5837;TURBO;205837000310;I.E. CURRULAO;B/PUEBLO NUEVO.;8206063;DEOSITEO MELENDEZ PEREA;INSTITUCION EDUCATIVA;OFICIAL;RURAL;MAÑANA,NOCTURNA,TARDE,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,20,21,22,23,24,25,26,99;2;A;iecurrulao@turboeducado.edu.co
ANTIOQUIA;5;ANTIOQUIA;5172;CHIGORODÓ;205172000101;I. E. R.  BARRANQUILLITA; KM. 9;824 50 29;CUESTA PEREA JOSE ARNULFO;INSTITUCION EDUCATIVA;OFICIAL;RURAL;COMPLETA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,99;1;A;chigorodoierbarranqui@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5652;SAN FRANCISCO;205197000849;I. E. SAN FRANCISCO;KR 11 A 6 B 85;8323265;CUESTA CUESTA AZARIA;INSTITUCION EDUCATIVA;OFICIAL;RURAL,URBANA;MAÑANA,COMPLETA,NOCTURNA,TARDE,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26;13;A;iesanfrancisco@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5376;LA CEJA;105376000211;I. E. BERNARDO URIBE LONDOÑO ;KR 13 21 100;553 14 38;PEÑALOZA SUESCUN EDGAR;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,99;2;A;
ANTIOQUIA;5;ANTIOQUIA;5145;CARAMANTA;105145000145;I. E. JUAN PABLO GOMEZ OCHOA;KR LETICIA 18 48;8553322;MELO MARTINEZ JOSE MARIA ALBEIRO;INSTITUCION EDUCATIVA;OFICIAL;RURAL,URBANA;COMPLETA,NOCTURNA,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,99;13;A;iejpgo@yahoo.es
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001002101;INST EDUC JUAN DE DIOS COCK;CL 88 45 70;2118268/2110220 ;BEATRIZ ELENA LOPEZ RODRIGUEZ;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11;2;A;educock2003@yahoo.es
BELLO;5;ANTIOQUIA;5088;BELLO;105088001431;IE LA CAMILA;DG 42 EB 36 A 89;4810976;VICTOR ANDRES GONZALEZ CARDONA;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11;2;A;ielacamila@yahoo.es 
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001007188;INST EDUC BENEDIKTA ZUR NIEDEN;CL 42 C 95 54;4344033 Imail:ie.benediktazurniede@medellin.gov.co;RICARDO DE JESUS ECHEVERRI TOBON;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11;1;A;benediktazm@hotmail.com
BELLO;5;ANTIOQUIA;5088;BELLO;305088002950;IE LICEO ANTIOQUEÑO;KR 57 A 37 115;2720109-4566278;JOHN BETANCUR BUSTAMANTE;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,99;2;A;ieliceoa@yahoo.es
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001019534;INST EDUC RODRIGO LARA BONILLA;KR 25 69 D 35;2849094;JAMES EDUARDO OCAMPO MONSALVE;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,99;1;A;ie.rodrigolarabonill@medellin.gov.co
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001001848;INST EDUC SOR JUANA INES DE LA CRUZ;IND KR 67 103 EE 1;2678688;GLORIA DURANGO AGUIRRE;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,99;1;A; ie.sorjuanainesdelacruz@medellin.gov.co
ANTIOQUIA;5;ANTIOQUIA;5002;ABEJORRAL;205002000106;C. E. R. ANTONIO DUQUE J;VDA. NARANJAL;864 76 11; NORA MILENA VARGAS ARIAS;CENTRO EDUCATIVO;OFICIAL;;;;;0;A;delocori@tareanet.edu.co
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;205001006119;CENT EDUC JUAN ANDRES PATINO;CORREG SANTA ELENA-VDA BARRO BLANCO;5669138;LEONARDO DE JESUS BUILES BUILES;CENTRO EDUCATIVO;OFICIAL;RURAL;COMPLETA;PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6;3;A;ce.juanandrespatino@medellin.gov.co
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001002895;INST EDUC FRANCISCO ANTONIO ZEA;KR 82 35 40;4119257-4119132;JAIR ALBERTO QUIROZ QUIRAMA;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11;2;A;
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001013145;INST EDUC SANTA TERESA;KR 52 109 A 18;2584245;AURA CECILIA MEDINA CORREA;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11;1;A;iesantateresa@yahoo.es
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001006718;INST EDUC ASIA IGNACIANA;CL 122 51 B 30;4611821/4610517/4612580;EVELIO OSPINA GRISALES;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11;4;A;iasa1@educame.gov.co
ANTIOQUIA;5;ANTIOQUIA;5495;NECHÍ;205495000312;I. E. JORGE ELIECER GAITAN;CORREG. CARGUEROS;8308064 y 3152343394;BARRAGAN MEJIA ANA MARIA;INSTITUCION EDUCATIVA;OFICIAL;RURAL,URBANA;MAÑANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,99;4;A;anambm@hotmail.com
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001002071;I.E. BENJAMIN HERRERA;CL 25 52 140;2653004;CARLOS ARTURO VENGOECHEA MARULANDA;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,NOCTURNA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,23,24,25,26,99;2;A;secretariabenjaminherrera@gmail.com
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001000621;INST EDUC ESCUELA NORMAL SUPERIOR DE MEDELLIN;KR 34 65 02;4039040;JUAN CARLOS ZAPATA CORREA;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,COMPLETA,ÚNICA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,12,13;1;A;ie.normalsuperior@medellin.gov.co
ANTIOQUIA;5;ANTIOQUIA;5021;ALEJANDRÍA;105021000139;I. E. PROCESA DELGADO;CL 22 20 60;8660019;CLAUDIA MARIA MEJIA TOBON;INSTITUCION EDUCATIVA;OFICIAL;RURAL,URBANA;COMPLETA,NOCTURNA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26;15;A;procesadelgado@gmail.com
ANTIOQUIA;5;ANTIOQUIA;5002;ABEJORRAL;205002000131;C. E. R. SAN BERNARDO;VDA SAN BERNARDO;864 76 11;CORREA CORREA MONICA MARIA;CENTRO EDUCATIVO;OFICIAL;;;;;0;A;
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001007889;INST EDUC JUVENIL NUEVO FUTURO;KR 80 104 C 36;2673506   ie.juvenilnuevofutur@medellin.gov.co;BLANCA NOHEMY BENJUMEA ZULUAGA;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,99;1;A; ie.juvenilnuevofutur@medellin.gov.co iejnf04@hotmail.com
ANTIOQUIA;5;ANTIOQUIA;5659;SAN JUAN DE URABÁ;205659000611;C. E. R. SAN JUAN ORIENTAL;VDA. SAN JUAN ORIENTAL;;BEDOYA HOYOS GUSTAVO(DP);CENTRO EDUCATIVO;OFICIAL;RURAL;MAÑANA,COMPLETA,FIN DE SEMANA;PREESCOLAR,BÁSICA PRIMARIA;0,1,2,3,4,5,21;6;A;SJUCERSANJUANORIENTAL@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5895;ZARAGOZA;105895001119;I. E. LUIS FERNANDO RESTREPO RESTREPO;KR 21 47 25;838 81 08;COLORADO RESTREPO GIOVANY ALBERTO;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,99;1;A;zaragozaluisfernando@tareanet.edu.co 
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001021199;INST EDUC LA INDEPENDENCIA;CL 39 D 112 81;4929808 Correo: ie.laindependencia@hotmail.com;BEATRIZ EUGENIA RIOS;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,99;3;A;iindep@epm.net.co
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001014052;INST EDUC NUEVO HORIZONTE;KR 42 B 110 A 28;5722929/5285638;ANGEL GIOVANNI PARDO ALVAREZ;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11;3;A;ienuevohorizonte2010@gmail.com
ANTIOQUIA;5;ANTIOQUIA;5002;ABEJORRAL;205002000149;C. E. R. SAN TADEO;VDA GUAYAQUIL;864 76 11;GIL HENAO LIDA MARIA;CENTRO EDUCATIVO;OFICIAL;;;;;0;A;consuos@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5051;ARBOLETES;205051001347;I. E. R. BUENOS AIRES;CORREG.BUENOS AIRES ;8245858;ROBLEDO PINO GENARO (DP);INSTITUCION EDUCATIVA;OFICIAL;RURAL;MAÑANA,COMPLETA,NOCTURNA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,22;4;A;arboletesierbuenosaires@tareanet.edu.co
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001011690;INST EDUC FEDERICO CARRASQUILLA;KR 45 108 110;2581227/2580194 ;ARLEISON ARCOS RIVAS;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,NOCTURNA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99;2;A;federicocarrasquilla@gmail.com
ANTIOQUIA;5;ANTIOQUIA;5034;ANDES;205034000078;I. E. R. CARBONERA;VDA. SAN BARTOLO;8417648;RENDON RENDON MARIELA AMPARO;INSTITUCION EDUCATIVA;OFICIAL;RURAL;COMPLETA,NOCTURNA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,22;4;A;ierlacarbonera@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5034;ANDES;205034000299;I. E. SAN JOSE;CORREG. SAN JOSE;8414482;RENDON PEREZ ARGIDIO DE JESUS;INSTITUCION EDUCATIVA;OFICIAL;RURAL;COMPLETA,NOCTURNA,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21;6;A;iersanjosedelosandes@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5856;VALPARAÍSO;105856000024;I. E. RAFAEL URIBE URIBE;KR 10 6 01;8493165;ZAPATA GOMEZ MARIA MARGARITA;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,COMPLETA,NOCTURNA,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,22,23,24,25,26;2;A;
BELLO;5;ANTIOQUIA;5088;BELLO;205088000120;I.E. SAN GABRIEL ARCÁNGEL;AV 14 B CL 53 B 111;2744528;VICTOR DARIO ARROYO AVILES;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11;1;A;iesgabriel@yahoo.es
