COLE_COD_DANE_ESTABLECIMIENTO,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_BILINGUE,COLE_CARACTER,COLE_AREA_UBICACION,COLE_JORNADA,COLE_COD_MCPIO_UBICACION
105001010588,INST EDUC FE Y ALEGRIA LA CIMA,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001010588,INST EDUC FE Y ALEGRIA LA CIMA,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001001252,INST EDUC CRISTOBAL COLON,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001000132,INST EDUC JOSE MARIA BERNAL,MIXTO,OFICIAL,,ACADÉMICO,URBANO,TARDE,5001
105001023965,INST EDUC FINCA LA MESA,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001000981,INST EDUC GILBERTO ALZATE AVENDA?O,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001000981,INST EDUC GILBERTO ALZATE AVENDA?O,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001000493,INST EDUC RAMON GIRALDO CEBALLOS,MIXTO,OFICIAL,,ACADÉMICO,URBANO,TARDE,5001
105001011690,INST EDUC FEDERICO CARRASQUILLA,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001000167,COL LA PASTORA-EN ADMINISTRACION (AC),MIXTO,NO OFICIAL,,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001008249,INST EDUC BELLO HORIZONTE,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001000175,INST EDUC GABRIEL RESTREPO MORENO,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001014851,INST EDUC JESUS REY,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001000493,INST EDUC RAMON GIRALDO CEBALLOS,MIXTO,OFICIAL,,ACADÉMICO,URBANO,MAÑANA,5001
305001015686,INST EDUC MAESTRO ARENAS BETANCUR,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001000205,INST EDUC SAN AGUSTIN,MIXTO,OFICIAL,,ACADÉMICO,URBANO,MAÑANA,5001
105001010448,INST EDUC LA ESPERANZA,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001010448,INST EDUC LA ESPERANZA,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001002895,INST EDUC FRANCISCO ANTONIO ZEA,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001002895,INST EDUC FRANCISCO ANTONIO ZEA,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001012165,INST EDUC GUADALUPE,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001012165,INST EDUC GUADALUPE,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001000256,INST EDUC HECTOR ABAD GOMEZ,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001000256,INST EDUC HECTOR ABAD GOMEZ,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,SABATINA,5001
105001000256,INST EDUC HECTOR ABAD GOMEZ,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,NOCHE,5001
105001000256,INST EDUC HECTOR ABAD GOMEZ,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001011631,INST EDUC ASAMBLEA DEPARTAMENTAL,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001013340,INST EDUC INEM JOSE FELIX DE RESTREPO,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001013340,INST EDUC INEM JOSE FELIX DE RESTREPO,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001009709,INST EDUC FELIX HENAO BOTERO,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001009709,INST EDUC FELIX HENAO BOTERO,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001011631,INST EDUC ASAMBLEA DEPARTAMENTAL,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001001279,INST EDUC CIRO MENDIA,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001019330,INST EDUC BARRIO SANTA MARGARITA,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001000353,INST EDUC JUAN DE LA CRUZ POSADA,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001000868,INST EDUC REPUBLICA DE VENEZUELA,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001019062,INST EDUC ALFONSO MORA NARANJO,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001019062,INST EDUC ALFONSO MORA NARANJO,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001001279,INST EDUC CIRO MENDIA,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001000353,INST EDUC JUAN DE LA CRUZ POSADA,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001000396,INST EDUC JOSE ACEVEDO Y GOMEZ,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,NOCHE,5001
105001000396,INST EDUC JOSE ACEVEDO Y GOMEZ,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,UNICA,5001
105001000396,INST EDUC JOSE ACEVEDO Y GOMEZ,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001000418,INST EDUC LA MILAGROSA,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001000418,INST EDUC LA MILAGROSA,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001000396,INST EDUC JOSE ACEVEDO Y GOMEZ,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001000485,INST EDUC LA SALLE DE CAMPOAMOR,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001000485,INST EDUC LA SALLE DE CAMPOAMOR,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,NOCHE,5001
105001000485,INST EDUC LA SALLE DE CAMPOAMOR,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001001279,INST EDUC CIRO MENDIA,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,NOCHE,5001
105001001562,INST EDUC JAVIERA LONDO?O,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001000990,INST EDUC GONZALO RESTREPO JARAMILLO,FEMENINO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001000990,INST EDUC GONZALO RESTREPO JARAMILLO,FEMENINO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001001562,INST EDUC JAVIERA LONDO?O,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001000566,INST EDUC CARACAS,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001000566,INST EDUC CARACAS,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001000566,INST EDUC CARACAS,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,NOCHE,5001
105001010855,INST EDUC  ANA DE CASTRILLON,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001000621,INST EDUC ESCUELA NORMAL SUPERIOR DE MEDELLIN,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001000621,INST EDUC ESCUELA NORMAL SUPERIOR DE MEDELLIN,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,UNICA,5001
105001010855,INST EDUC  ANA DE CASTRILLON,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001003298,INST EDUC LORENZA VILLEGAS DE SANTOS,FEMENINO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001002526,INST EDUC SAMUEL BARRIENTOS RESTREPO,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001003298,INST EDUC LORENZA VILLEGAS DE SANTOS,FEMENINO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001002470,INST EDUC SAN VICENTE DE PAUL,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001002470,INST EDUC SAN VICENTE DE PAUL,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001000795,INST EDUC ALFREDO COCK ARANGO,MIXTO,OFICIAL,N,TÉCNICO,URBANO,TARDE,5001
105001000795,INST EDUC ALFREDO COCK ARANGO,MIXTO,OFICIAL,N,TÉCNICO,URBANO,MAÑANA,5001
105001000795,INST EDUC ALFREDO COCK ARANGO,MIXTO,OFICIAL,N,TÉCNICO,URBANO,NOCHE,5001
105001000809,INST EDUC PERPETUO SOCORRO,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001000809,INST EDUC PERPETUO SOCORRO,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001000809,INST EDUC PERPETUO SOCORRO,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,UNICA,5001
105001001848,INST EDUC SOR JUANA INES DE LA CRUZ,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001002020,INST EDUC RAFAEL URIBE URIBE,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001000841,INST EDUC JESUS MARIA - EL ROSAL,FEMENINO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001002101,INSTITUCIÓN EDUCATIVA JUAN DE DIOS COCK,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001002119,I.E. MARCO FIDEL SUAREZ,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001000868,INST EDUC REPUBLICA DE VENEZUELA,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001000876,I.E. JAVIERA LONDOÑO-SEVILLA,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,NOCHE,5001
105001000876,I.E. JAVIERA LONDOÑO-SEVILLA,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001000876,I.E. JAVIERA LONDOÑO-SEVILLA,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001002305,INST EDUC MARISCAL ROBLEDO,MIXTO,OFICIAL,,ACADÉMICO,URBANO,MAÑANA,5001
105001006980,INST EDUC CONCEJO DE MEDELLIN,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001001121,INST EDUC JOSE ROBERTO VASQUEZ,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001001121,INST EDUC JOSE ROBERTO VASQUEZ,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001003387,INST EDUC SANTA ROSA DE LIMA,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001017965,INST EDUC MANUEL JOSE GOMEZ S,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001000931,INST EDUC DIEGO ECHAVARRIA MISAS,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001000931,INST EDUC DIEGO ECHAVARRIA MISAS,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001000981,INST EDUC GILBERTO ALZATE AVENDA?O,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,NOCHE,5001
105001011070,INST EDUC MERCEDITAS GOMEZ MARTINEZ,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001011070,INST EDUC MERCEDITAS GOMEZ MARTINEZ,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001003280,INST EDUC MARIA MONTESSORI,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001001023,INST EDUC ANTONIO RICAURTE,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001010448,INST EDUC LA ESPERANZA,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,UNICA,5001
105001005525,INST EDUC ENRIQUE OLAYA HERRERA,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001001121,INST EDUC JOSE ROBERTO VASQUEZ,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,UNICA,5001
105001005878,INST EDUC FRANCISCO MIRANDA,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,NOCHE,5001
105001005878,INST EDUC FRANCISCO MIRANDA,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001012700,INST EDUC SAN PABLO,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001001163,INSTITUCION EDUCATIVA LA ASUNCION,MIXTO,OFICIAL,,ACADÉMICO,URBANO,TARDE,5001
105001001155,INST EDUC SAN JUAN BAUTISTA DE LA SALLE,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,NOCHE,5001
105001001155,INST EDUC SAN JUAN BAUTISTA DE LA SALLE,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001001155,INST EDUC SAN JUAN BAUTISTA DE LA SALLE,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001012700,INST EDUC SAN PABLO,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001001163,INSTITUCION EDUCATIVA LA ASUNCION,MIXTO,OFICIAL,,ACADÉMICO,URBANO,MAÑANA,5001
105001007188,INST EDUC BENEDIKTA ZUR NIEDEN,MIXTO,OFICIAL,,ACADÉMICO,URBANO,TARDE,5001
105001001198,INST EDUC AURES,MIXTO,OFICIAL,,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001001198,INST EDUC AURES,MIXTO,OFICIAL,,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001007188,INST EDUC BENEDIKTA ZUR NIEDEN,MIXTO,OFICIAL,,ACADÉMICO,URBANO,MAÑANA,5001
105001001236,I.E. MONTECARLO GUILLERMO GAVIRIA CORREA,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001007978,INST EDUC PABLO NERUDA,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001001252,INST EDUC CRISTOBAL COLON,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001001252,INST EDUC CRISTOBAL COLON,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,UNICA,5001
105001001317,INST EDUC MADRE MARIA MAZARELLO,FEMENINO,OFICIAL,,ACADÉMICO,URBANO,MAÑANA,5001
105001019194,INST EDUC EL PEDREGAL,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001019194,INST EDUC EL PEDREGAL,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001002526,INST EDUC SAMUEL BARRIENTOS RESTREPO,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001001368,INST EDUC ALVARO MARIN VELASCO,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001001368,INST EDUC ALVARO MARIN VELASCO,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001007978,INST EDUC PABLO NERUDA,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001001473,INST EDUC MANUELA BELTRAN,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001001473,INST EDUC MANUELA BELTRAN,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,NOCHE,5001
105001001473,INST EDUC MANUELA BELTRAN,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001001490,INST EDUC LOLA GONZALEZ,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001001805,INST EDUC FE Y ALEGRIA POPULAR NRO. 1,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001001562,INST EDUC JAVIERA LONDO?O,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,UNICA,5001
105001005339,INST EDUC MONSE?OR FRANCISCO CRISTOBAL TORO,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001005339,INST EDUC MONSE?OR FRANCISCO CRISTOBAL TORO,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001001635,INST EDUC YERMO Y PARRES,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001001651,INST EDUC JOSE CELESTINO MUTIS,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001001651,INST EDUC JOSE CELESTINO MUTIS,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001011690,INST EDUC FEDERICO CARRASQUILLA,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001001660,INST EDUC JOSE ANTONIO GALAN,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001001660,INST EDUC JOSE ANTONIO GALAN,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001006068,INST EDUC DINAMARCA,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001006068,INST EDUC DINAMARCA,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001011886,INST EDUC AMERICA,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001001716,INSTITUCION EDUCATIVA SANTA CATALINA DE SIENA,MIXTO,OFICIAL,,ACADÉMICO,URBANO,MAÑANA,5001
105001001716,INSTITUCION EDUCATIVA SANTA CATALINA DE SIENA,MIXTO,OFICIAL,,ACADÉMICO,URBANO,TARDE,5001
105001002071,I.E. BENJAMIN HERRERA,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,UNICA,5001
105001002071,I.E. BENJAMIN HERRERA,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001001791,INST EDUC MONSEÑOR GERARDO VALENCIA CANO,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001001791,INST EDUC MONSEÑOR GERARDO VALENCIA CANO,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001001821,INST EDUC NUEVO HORIZONTE,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001001805,INST EDUC FE Y ALEGRIA POPULAR NRO. 1,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001001848,INST EDUC SOR JUANA INES DE LA CRUZ,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001001881,I.E. CARLOS VIECO ORTIZ,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001001881,I.E. CARLOS VIECO ORTIZ,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001002003,INST EDUC SAN ROBERTO BELARMINO,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001002003,INST EDUC SAN ROBERTO BELARMINO,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001002011,INST EDUC FEDERICO OZANAM,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001002011,INST EDUC FEDERICO OZANAM,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001002011,INST EDUC FEDERICO OZANAM,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,NOCHE,5001
105001002020,INST EDUC RAFAEL URIBE URIBE,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,NOCHE,5001
105001002020,INST EDUC RAFAEL URIBE URIBE,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001012700,INST EDUC SAN PABLO,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,NOCHE,5001
105001002038,INST EDUC JOSE EUSEBIO CARO,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001002488,INST EDUC PEDRO LUIS VILLA,MIXTO,OFICIAL,S,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001002488,INST EDUC PEDRO LUIS VILLA,MIXTO,OFICIAL,S,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001002071,I.E. BENJAMIN HERRERA,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001002071,I.E. BENJAMIN HERRERA,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,NOCHE,5001
105001002101,INSTITUCIÓN EDUCATIVA JUAN DE DIOS COCK,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001002119,I.E. MARCO FIDEL SUAREZ,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001002119,I.E. MARCO FIDEL SUAREZ,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,UNICA,5001
105001002119,I.E. MARCO FIDEL SUAREZ,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,NOCHE,5001
105001002135,INST EDUC RAMON MUNERA LOPERA,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001002135,INST EDUC RAMON MUNERA LOPERA,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001023965,INST EDUC FINCA LA MESA,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001019089,INST EDUC VIDA PARA TODOS,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001019089,INST EDUC VIDA PARA TODOS,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001002305,INST EDUC MARISCAL ROBLEDO,MIXTO,OFICIAL,,ACADÉMICO,URBANO,TARDE,5001
105001026581,INST EDUC LA SIERRA,MIXTO,OFICIAL,,,URBANO,TARDE,5001
105001015831,INST EDUC VALLEJUELOS,MIXTO,OFICIAL,,ACADÉMICO,URBANO,MAÑANA,5001
105001026131,I.E. EL PINAL,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001006980,INST EDUC CONCEJO DE MEDELLIN,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001002348,INST EDUC FE Y ALEGRIA SANTO DOMINGO SAVIO,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001002348,INST EDUC FE Y ALEGRIA SANTO DOMINGO SAVIO,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001002356,INST EDUC GABRIEL GARCIA MARQUEZ,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001002356,INST EDUC GABRIEL GARCIA MARQUEZ,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001025771,INST EDUC JOAQUIN VALLEJO ARBELAEZ,MIXTO,OFICIAL,,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
