COLE_DEPTO_UBICACION,COLE_MCPIO_UBICACION,COD_MCPIO
Magdalena,Fundación,47288
Atlántico,Baranoa,8078
Antioquia,La Estrella,5380
Antioquia,Caldas ,5129
Valle del Cauca,Candelaria (Val),76130
Córdoba,Tierralta,23807
Cundinamarca,Cota,25214
San Andrés y Providencia,San Andrés (S.A),88001
Magdalena,El Banco,47245
Caldas,Villamaría,17873
Norte de Santander,Los Patios,54405
Norte de Santander,Pamplona,54518
Putumayo,Puerto Asís,86568
Amazonas,Leticia,91001
Valle del Cauca,Florida,76275
Cesar,La Jagua de Ibirico,20400
Cauca,Puerto Tejada,19573
Huila,La Plata,41396
Antioquia,Yarumal,5887
Antioquia,La Ceja,5376
Antioquia,Chigorodó,5172
Cesar,Bosconia,20060
Santander,Socorro,68755
Risaralda,La Virginia,66400
Magdalena,Zona Bananera,47980
Putumayo,San Miguel de Mocoa,86001
Caldas,Riosucio (Cal),17614
Cundinamarca,Villa de San Diego de Ubaté,25843
Bolívar,Mompós,13468
Cesar,Chimichagua,20175
Córdoba,San Pelayo,23686
Sucre,San Marcos,70708
Cesar,Curumaní,20228
Caldas,Chinchiná,17174
Arauca,Saravena,81736
Guaviare,San José del Guaviare,95001
Antioquia,Girardota,5308
Boyacá,Puerto Boyacá,15572
Arauca,Tame,81794
Tolima,Chaparral,73168
Tolima,Ortega,73504
Santander,Barbosa (Sder),68077
Antioquia,El Carmen de Viboral,5148
Córdoba,Ciénaga de Oro,23189
Córdoba,San Andrés de Sotavento,23670
Antioquia,Santa Rosa de Osos,5686
Magdalena,Plato,47555
Antioquia,Barbosa ,5079
Cundinamarca,La Calera,25377
Tolima,San Sebastian de Mariquita,73443
Córdoba,Chinú,23182
Valle del Cauca,Roldanillo,76622
Casanare,Aguazul,85010
Tolima,Líbano,73411
Boyacá,Paipa,15516
Cundinamarca,Tenjo,25799
La Guajira,San Juan del Cesar,44650
La Guajira,Fonseca,44279
Valle del Cauca,Pradera,76563
Antioquia,Puerto Berrío,5579
Santander,San Vicente de Chucurí,68689
Santander,Málaga,68432
Valle del Cauca,Zarzal,76895
Risaralda,Apía,66045
Bolívar,María la Baja,13442
Antioquia,El Bagre,5250
Cesar,El Paso,20250
Cundinamarca,Pacho,25513
Cundinamarca,La Mesa,25386
Caquetá,San Vicente del Caguán,18753
Bolívar,San Juan Nepomuceno,13657
Cesar,El Copey,20238
Tolima,Guamo,73319
Nariño,Túquerres,52838
Sucre,San Onofre,70713
Valle del Cauca,Sevilla,76736
Magdalena,Pivijay,47551
Cundinamarca,Tocancipá,25817
Sucre,Sampués,70670
Córdoba,Valencia,23855
Quindío,Montenegro,63470
Tolima,Melgar,73449
Cesar,Chiriguaná,20178
Antioquia,Andes,5034
Antioquia,Guarne,5318
Antioquia,Necoclí,5490
Córdoba,Ayapel,23068
Córdoba,San Antero,23672
Quindío,La Tebaida,63401
Caldas,Anserma,17042
Quindío,Quimbaya,63594
Atlántico,Galapa,8296
Antioquia,El Santuario,5697
Atlántico,Sabanagrande,8634
Casanare,Paz de Ariporo,85250
Cauca,Piendamó,19548
Antioquia,Sonsón,5756
Valle del Cauca,La Unión (Val),76400
Cundinamarca,Villeta,25875
Risaralda,Quinchía,66594
Santander,Lebrija,68406
N/D,N/D,23923
Sucre,Majagual,70429
Nariño,Cumbal,52227
Huila,Acevedo,41006
Cesar,San Alberto,20710
Magdalena,Guamal (Mag),47318
Atlántico,Palmar de Varela,8520
Cesar,Astrea,20032
Tolima,Flandes,73275
Huila,Campoalegre,41132
Cundinamarca,Sopó,25758
Antioquia,Arboletes,5051
Meta,Puerto López,50573
Chocó,Istmina,27361
Antioquia,Yolombó,5890
Caldas,Supía,17777
Valle del Cauca,Guacarí,76318
Bolívar,Mahates,13433
Valle del Cauca,Dagua,76233
Antioquia,Carepa,5147
Tolima,Purificación,73585
Cesar,Pelaya,20550
Casanare,Villanueva (Cas),85440
Córdoba,San Bernardo del Viento,23675
Magdalena,Aracataca,47053
Nariño,La Unión (Nar),52399
Santander,Puerto Wilches,68575
Cundinamarca,El Colegio,25245
Meta,La Uribe,5847
La Guajira,Barrancas,44078
Antioquia,San Pedro de los Milagros,5664
Cauca,Guapí,19318
Santander,Cimitarra,68190
Boyacá,Nobsa,15491
Antioquia,Segovia,5736
Sucre,Ovejas,70508
Cauca,Miranda,19455
Córdoba,Moñitos,23500
Cundinamarca,Tabio,25785
Antioquia,Urrao,44847
Quindío,Circasia,63190
Antioquia,Amagá,5030
Antioquia,Santa Fe de Antioquia,5042
Atlántico,Santo Tomás,8685
Cesar,Becerril,20045
Santander,Vélez,68861
Cesar,La Paz (Ces),20621
Tolima,Fresno,73283
Huila,Gigante,41306
Tolima,Honda,73349
Cauca,Caloto,19142
Cauca,El Tambo (Cau),19256
Cauca,Bolívar (Cau),19100
La Guajira,Manaure (Guaj),44560
Santander,Puente Nacional,68572
Antioquia,Bolivar,5101
Cauca,Patía,19532
Arauca,Arauquita,81065
Córdoba,Purísima,23586
Putumayo,Valle del Guamuez,86865
Cauca,Silvia,19743
Bolívar,San Jacinto,13654
Valle del Cauca,Caicedonia,76122
Magdalena,Ariguaní,47058
Antioquia,Santa Bárbara ,5679
Putumayo,Orito,86320
Cundinamarca,Villapinzón,25873
Atlántico,Luruaco,8421
Sucre,Sincé,70742
Sucre,Tolú,70820
Huila,San Agustín,41668
Cauca,Timbío,19807
Cundinamarca,Chocontá,25183
Sucre,Los Palmitos,70418
Meta,Cumaral,50226
Cundinamarca,Guaduas,25320
Cundinamarca,El Rosal,25260
Antioquia,Fredonia,5282
Córdoba,Pueblo Nuevo,23570
Antioquia,San Pedro de Urabá,5665
Cauca,Corinto,19212
Huila,Palermo,41524
Antioquia,San Roque,5670
Bolívar,Santa Rosa del Sur,13688
Caldas,Aguadas,17013
Cesar,San Diego,20750
Putumayo,Sibundoy,86749
Cesar,Tamalameque,20787
La Guajira,Villanueva (Guaj),44874
Tolima,Coyaima,73217
Risaralda,Belén de Umbría,66088
Boyacá,Ramiriquí,15599
Nariño,Sandoná,52683
Santander,Rionegro (Sder),68615
Cundinamarca,Cáqueza,25151
Huila,Rivera,41615
Huila,Isnos,41359
Meta,San Martín (Met),50689
Cundinamarca,Cogua,25200
Nariño,Samaniego,52678
Santander,Sabana de Torres,68655
Atlántico,Repelón,8606
Tolima,Rovira,73624
Sucre,Toluviejo,70823
Valle del Cauca,Bugalagrande,76113
Magdalena,Santa Ana,47707
Huila,Timaná,41807
Antioquia,Zaragoza,5895
Meta,Restrepo (Met),50606
Sucre,Galeras,70235
Casanare,Tauramena,85410
Cesar,Pailitas,20517
Cundinamarca,Anolaima,25040
Cauca,Inzá,19355
Antioquia,Retiro,5607
Tolima,Lérida,73408
Antioquia,Tarazá,5790
La Guajira,Hatonuevo,44378
Antioquia,Peñol,5541
Antioquia,Amalfi,5031
Antioquia,La Unión ,5400
Vaupés,Mitú,97001
Norte de Santander,Tibú,54810
Caldas,Pensilvania,17541
Cundinamarca,Silvania,25743
Tolima,Cajamarca,73124
Putumayo,Villagarzón,86885
Bolívar,Calamar (Bol),13140
Córdoba,Puerto Libertador,23580
Antioquia,Remedios,5604
Cundinamarca,Subachoque,25769
Atlántico,Campo de la Cruz,8137
Boyacá,Garagoa,15299
Tolima,Natagaima,73483
Boyacá,Turmequé,15835
Boyacá,Samacá,15646
Sucre,San Pedro (Suc),70717
Cundinamarca,Anapoima,25035
Chocó,Tadó,27787
Huila,Aipe,41016
Nariño,Taminango,52786
Sucre,San Benito Abad,70678
Cesar,San Martín (Ces),20770
Cauca,Caldonó,19137
Boyacá,Siachoque,15740
Atlántico,Manatí,8436
Antioquia,Ituango,5361
Cundinamarca,La Vega ,25402
Córdoba,Puerto Escondido,23574
Casanare,Monterrey,85162
Bolívar,Pinillos,13549
Valle del Cauca,Ginebra,76306
Magdalena,El Reten,47268
Norte de Santander,El Zulia,54261
Cesar,La Gloria,20383
Bolívar,Achí,13006
Bolívar,San Pablo (Bol),13670
Nariño,La Cruz,52378
Caldas,Neira,17486
Cauca,Páez (Cau),19517
Magdalena,San Sebastián de Buenavista,47692
Caquetá,El Doncello,18247
Cauca,Buenos Aires,19110
Cundinamarca,Guasca,25322
Antioquia,Cañasgordas,5138
Córdoba,Momil,23464
Córdoba,San Carlos (Cór),23678
Valle del Cauca,Andalucía,76036
Cundinamarca,Puerto Salgar,25572
Boyacá,Santana,15686
Córdoba,Chimá (Cór),23168
Nariño,Pupiales,52585
Antioquia,San Vicente,5674
Caldas,Manzanares,17433
Antioquia,Frontino,5284
Caldas,Samaná,17662
Santander,Charalá,68167
Antioquia,Támesis,5789
Caldas,Palestina (Cal),17524
Córdoba,Buenavista (Cór),23079
Cauca,Morales (Cau),19473
Caquetá,Puerto Rico ,18592
Bolívar,San Estanislao de Kostka,13647
Caldas,Pácora,17513
Valle del Cauca,Restrepo (Val),76606
Boyacá,Umbita,15842
Vichada,Puerto Carreño,99001
Cauca,Cajibío,19130
Caldas,Salamina (Cal),17653
Cundinamarca,Suesca,25772
Nariño,Barbacoas,52079
Norte de Santander,Chinácota,54172
Magdalena,Pueblo Viejo,47570
Sucre,Coveñas,70221
Atlántico,Ponedera,8560
Tolima,Saldaña,73671
Bolívar,Córdoba (Bol),13212
Bolívar,Villanueva (Bol),13873
Boyacá,Ventaquemada,15861
Caldas,Viterbo,17877
Norte de Santander,Abrego,54003
Antioquia,San Juan de Urabá,5659
La Guajira,Albania (Guaj),44035
Chocó,Condoto,27205
Boyacá,Moniquirá,15469
Bolívar,San Martín de Loba,13667
Boyacá,Paz de Río,15537
Atlántico,Juan de Acosta,8372
Antioquia,Jericó ,5368
Huila,Algeciras,41020
Cauca,Toribío,19821
Cundinamarca,Sesquilé,25736
Antioquia,Santo Domingo,5690
Nariño,Guachucal,52317
Boyacá,Villa de Leyva,15407
Valle del Cauca,La Victoria (Val),76403
Sucre,Sucre (Suc),70771
Cundinamarca,Simijaca,25745
Boyacá,Saboyá,15632
Santander,Oiba,68500
Norte de Santander,Sardinata,54720
Bolívar,Talaigua Nuevo,13780
Cundinamarca,Granada ,25312
Boyacá,Guateque,15322
Antioquia,Sopetrán,5761
Valle del Cauca,Trujillo,76828
Antioquia,Don Matías,5237
Valle del Cauca,Calima,76126
Cundinamarca,Choachí,25181
Magdalena,El Piñón,47258
Bolívar,Santa Rosa (Bol),13683
Cesar,Pueblo Bello,20570
Risaralda,Guática,66318
Boyacá,Aquitania,15047
Boyacá,Toca,15814
La Guajira,Dibulla,44090
Cesar,Río de Oro,20614
Boyacá,Miraflores (Boy),15455
Valle del Cauca,Toro,76823
Tolima,Planadas,73555
Antioquia,San Rafael,5667
Antioquia,San Carlos ,5649
Córdoba,La Apartada,23350
Antioquia,Puerto Nare,5585
Caldas,Marquetalia,17444
Antioquia,Cáceres,5120
Arauca,Fortul,81300
Quindío,Filandia,63272
Cundinamarca,Pasca,25535
Cundinamarca,Nemocón,25486
Cundinamarca,Viotá,25878
Cundinamarca,Lenguazaque,25407
Norte de Santander,Toledo (N.S.),54820
Cauca,Guachene,19300
Huila,Tarquí,41791
Córdoba,Canalete,23090
Antioquia,San Jerónimo,5656
Cesar,Gamarra,20295
Nariño,Córdoba (Nar),52215
Valle del Cauca,San Pedro (Val),76670
Putumayo,Puerto Leguízamo,86573
Cauca,La Vega (Cau),19397
Cauca,Suárez (Cau),19780
Antioquia,Abejorral,5002
Santander,San Andrés (Sder),68669
Cundinamarca,San Antonio del Tequendama,25645
Cundinamarca,Arbeláez,25053
Bolívar,Margarita,13440
Chocó,Riosucio (Cho),27615
Risaralda,Marsella,66440
Cauca,Timbiquí,19809
Cundinamarca,Sasaima,25718
Tolima,Icononzo,73352
Nariño,Buesaco,52110
Meta,Puerto Gaitán,50568
Caldas,Aranzazú,17050
Cundinamarca,Agua de Dios,25001
Magdalena,Sitionuevo,47745
Cundinamarca,Guachetá,25317
Magdalena,Chibolo,47170
Tolima,San Luís (Tol),73678
Caquetá,San José del Fragua,18610
Guainía,Puerto Inírida,94001
Risaralda,Santuario,66687
Córdoba,Cotorra,23300
Boyacá,Boavita,15097
Magdalena,Concordia (Mag),47205
Huila,Guadalupe (Hui),41319
Boyacá,Sotaquirá,15763
Nariño,El Tambo (Nar),52260
Boyacá,Soatá,15753
Valle del Cauca,Ansermanuevo,76041
Nariño,San Lorenzo,52687
Cundinamarca,La Palma,25394
Antioquia,Dabeiba,5234
Bolívar,Barranco de Loba,13074
Sucre,San Juan de Betulia,70702
Boyacá,Tibasosa,15806
Valle del Cauca,Bolívar (Val),76100
Bolívar,Santa Catalina,13673
Bolívar,Tiquisio,13810
Cauca,Villa Rica,19845
Valle del Cauca,Riofrío,76616
Bolívar,Clemencia,13222
Antioquia,Vegachí,5858
Santander,El Playón,68255
Bolívar,Turbaná,13838
Nariño,San Pablo (Nar),52693
Antioquia,Betulia ,5093
Cundinamarca,San Bernardo ,25649
Huila,Suaza,41770
Antioquia,Cisneros,5190
Tolima,Alpujarra,73024
Cundinamarca,Gachetá,25297
Boyacá,Belén (Boy),15087
Cundinamarca,Cachipay,25123
Tolima,Armero,73055
Nariño,El Tablón de Gomez,52258
Caquetá,Cartagena del Chairá,18150
Antioquia,Jardín,5364
Casanare,Trinidad,85430
Tolima,Venadillo,73861
Cesar,Manaure (Ces),20443
Cundinamarca,Quetame,25594
Nariño,El Charco,52250
Magdalena,Algarrobo,47030
Santander,Enciso,68266
Tolima,San Antonio,73675
Antioquia,Concordia ,5209
Huila,La Argentina,41378
Antioquia,Cocorná,5197
Valle del Cauca,La Cumbre,76377
Boyacá,Santa Rosa de Viterbo,15693
Antioquia,Ebéjico,5240
Antioquia,Venecia ,5861
Norte de Santander,Convención,54206
Antioquia,San Luís ,5660
Casanare,Maní,85139
Antioquia,Nechí,5495
La Guajira,Urumita,44855
Bolívar,Zambrano,13894
Cundinamarca,Fómeque,25279
Atlántico,Suan,8770
Córdoba,Los Córdobas,23419
Meta,Guamal (Met),50318
Cundinamarca,San Juan de Río Seco,25662
Bolívar,Simití,13744
Sucre,Morroa,70473
Santander,Suaita,68770
Tolima,Ataco,73067
Cauca,Balboa (Cau),19075
Valle del Cauca,Yotoco,76890
Boyacá,Socha,15757
Santander,Curití,68229
Valle del Cauca,Alcalá,76020
Atlántico,Polonuevo,8558
Boyacá,Tuta,15837
Nariño,Guaitarilla,52320
Sucre,Buenavista (Suc),70110
Sucre,La Unión (Suc),70400
Tolima,Rioblanco,73616
Caquetá,Belén de los Andaquies,18094
Nariño,Yacuanquer,52885
Cundinamarca,Ubalá,25839
Bolívar,Morales (Bol),13473
Atlántico,Candelaria ,8141
Tolima,Carmen de Apicalá,73148
Cundinamarca,Yacopí,25885
Magdalena,Tenerife,47798
Nariño,Potosí,52560
Quindío,Pijao,63548
Cauca,Puracé,19585
Sucre,Caimito,70124
Putumayo,San Miguel (Put),86757
Tolima,Prado,73563
Antioquia,Mutatá,5480
Antioquia,Puerto Triunfo,5591
Caquetá,El Paujíl,18256
Cauca,Mercaderes,19450
Cundinamarca,Fúquene,25288
Huila,Tesalia,41797
Bolívar,Hatillo de Loba,13300
Antioquia,Liborina,5411
Huila,Tello,41799
Caldas,Filadelfia,17272
Cundinamarca,San Francisco ,25658
Meta,Fuente de Oro,50287
Antioquia,Yondó,5893
Caldas,Belalcázar,17088
Antioquia,Anorí,5040
Bolívar,San Fernando,13650
Santander,Los Santos,68418
Cundinamarca,Chipaque,25178
Boyacá,Cómbita,15204
Cundinamarca,Gachancipá,25295
Santander,Mogotes,68464
Huila,Yaguará,41885
Cauca,Totoró,19824
Huila,Agrado,41013
Cundinamarca,Tocaima,25815
Atlántico,Tubará,8832
Meta,Castilla la Nueva,50150
Boyacá,Chita,15183
Chocó,Bahía Solano,27075
Norte de Santander,Cáchira,54128
Nariño,Albán (Nar),52019
Huila,Pital,41548
Boyacá,Muzo,15480
Tolima,Falán,73270
Cauca,Jambaló,19364
Santander,Aratoca,68051
Valle del Cauca,Obando,76497
Cauca,Almaguer,19022
Sucre,El Roble,70233
Santander,Landázuri,68385
Magdalena,Pijiño Del Carmen,47545
Magdalena,Nueva Granada,47460
Cundinamarca,Quipile,25596
Cundinamarca,Caparrapí,25148
Nariño,Puerres,52573
Risaralda,Pueblo Rico,66572
Atlántico,Santa Lucía,8675
Santander,Zapatoca,68895
Boyacá,Sutatenza,15778
Caldas,Victoria,17867
Santander,El Carmen de Chucurí,68235
Risaralda,La Celia,66383
Boyacá,Pauna,15531
Cundinamarca,Cucunubá,25224
Nariño,Los Andes,52418
Tolima,Dolores,73236
Boyacá,Somondoco,15761
Bolívar,Soplaviento,13760
Antioquia,Guatapé,5321
Bolívar,Cicuco,13188
Cundinamarca,Tausa,25793
Antioquia,Gómez Plata,5310
Antioquia,La Pintada,5390
Meta,Vista Hermosa,50711
Nariño,Ricaurte (Nar),52612
Huila,Santa María (Hui),41676
Casanare,Hato Corozal,85125
Nariño,Consacá,52207
Tolima,Cunday,73226
Caldas,Marmato,17442
Nariño,Olaya Herrera,52490
Sucre,San Antonio de Palmito,70523
Nariño,Chachagüí,52240
Boyacá,Tibaná,15804
Quindío,Salento,63690
Nariño,Tangua,52788
Risaralda,Mistrato,66456
Valle del Cauca,Vijes,76869
Magdalena,Salamina (Mag),47675
Huila,Iquira,41357
Nariño,Linares,52411
Nariño,Gualmatán,52323
Nariño,Iles,52352
Meta,Lejanías,50400
Bolívar,Arenal,13042
Caldas,La Merced,17388
Tolima,Coello,73200
Nariño,La Florida,52381
Atlántico,Usiacurí,8849
Cundinamarca,Nocaima,25491
Vichada,Cumaribo,99773
Nariño,Ancuyá,52036
Norte de Santander,Bochalema,54099
Cauca,La Sierra,19392
Cauca,Rosas,19622
Magdalena,San Zenón,47703
Norte de Santander,Teorama,54800
Huila,Palestina (Hui),41530
Santander,Guadalupe (Sder),68320
Norte de Santander,Arboledas,54051
Cundinamarca,Junín,25372
Cundinamarca,Nilo,25488
Santander,Barichara,68079
Antioquia,Entrerríos,5264
Cundinamarca,Machetá,25426
Norte de Santander,Salazar de las Palmas,54660
Cundinamarca,Tena,25797
Putumayo,Puerto Caicedo,86569
Cauca,López de Micay,19418
Chocó,Bagadó,27073
Nariño,Imués,52354
Boyacá,Tenza,15798
Cundinamarca,Apulo,25599
Magdalena,Santa Barbara De Pinto,47720
Santander,El Peñon (Sder),68250
Casanare,Orocué,85230
Caquetá,La Montañita,18410
Cundinamarca,Bojacá,25099
Nariño,Aldana,52022
Nariño,Mallama,52435
Valle del Cauca,El Águila,76243
Santander,Bolívar (Sder),68101
Santander,Capitanejo,68147
Quindío,Génova,63302
Sucre,Guarandá,70265
Vichada,La Primavera,99524
Putumayo,San Francisco (Put),86755
Cauca,Padilla,19513
Nariño,Belén (Nar),52083
Antioquia,Maceo,5425
Guaviare,El Retorno,95025
Cundinamarca,Paratebueno,25530
Caldas,Risaralda,17616
Magdalena,Pedraza,47541
Santander,Sucre (Sder),68773
Tolima,Alvarado,73026
Cundinamarca,Une,25845
Boyacá,San Pablo de Borbur,15681
Antioquia,Granada ,5313
Boyacá,Zetaquirá,15897
Cauca,Argelia (Cau),19050
Bolívar,El Guamo,13248
Antioquia,Salgar,5642
Antioquia,Valparaíso ,5856
Huila,Oporapa,41503
Bolívar,San Cristobal,13620
Chocó,Medio San Juan,27450
Antioquia,Titiribí,5809
Valle del Cauca,Versalles,76863
Tolima,Ambalema,73030
Boyacá,Monguí,15466
Cundinamarca,Carmen de Carupa,25154
Sucre,Colosó,70204
Cundinamarca,Medina,25438
Norte de Santander,El Carmen,54245
Santander,Galán,68296
Santander,Villanueva (Sder),68872
Putumayo,Puerto Guzmán,86571
Huila,Saladoblanco,41660
Cundinamarca,Ricaurte ,25612
Antioquia,Angostura,5038
Boyacá,Tutazá,15839
Antioquia,Vigía del Fuerte,5873
Cundinamarca,San Cayetano ,25653
Chocó,Unguía,27800
Boyacá,Firavitoba,15272
Tolima,Anzoátegui,73043
Valle del Cauca,El Cairo,76246
Norte de Santander,Cucutilla,54223
Cundinamarca,Tibacuy,25805
Magdalena,Remolino,47605
Antioquia,Tarso,5792
Valle del Cauca,El Dovio,76250
Meta,San Juan de Arama,50683
Antioquia,Caicedo,5125
Casanare,Pore,85263
Antioquia,Argelia ,5055
Antioquia,Pueblorrico,5576
Cundinamarca,Gachalá,25293
Nariño,Policarpa,52540
Cundinamarca,Ubaque,25841
Boyacá,Jenesano,15367
Santander,Simacota,68745
Boyacá,Santa Sofía,15696
Boyacá,Susacón,15774
Tolima,Villahermosa,73870
Boyacá,Otanche,15507
Nariño,Colón (Nar),52203
Boyacá,Tasco,15790
Norte de Santander,Gramalote,54313
Cundinamarca,Albán ,25019
Caldas,San Jose,17665
San Andrés y Providencia,n.a. (1),5483
Boyacá,Quípama,15580
Santander,Cerrito,68162
Santander,Matanza,68444
Nariño,Cuaspud,52224
Cauca,Sotará,19760
Nariño,San Bernardo (Nar),52685
Caquetá,Milán,18460
Caquetá,Curillo,18205
Meta,San Carlos de Guaroa,50680
Antioquia,Valdivia,5854
Nariño,Arboleda,52051
Cundinamarca,Guatavita,25326
Casanare,Nunchía,85225
Chocó,El Carmen de Atrato,27245
Cundinamarca,La Peña,25398
Nariño,Francisco Pizarro,52520
Huila,Villavieja,41872
La Guajira,Distraccion,44098
Nariño,Ospina,52506
Cundinamarca,Susa,25779
Antioquia,Sabanalarga ,5628
Boyacá,El Cocuy,15244
Santander,Concepción (Sder),68207
Huila,Nátaga,41483
Amazonas,Puerto Nariño,91540
Antioquia,Betania,5091
Antioquia,San Andrés de Cuerquia,5647
Boyacá,Soracá,15764
Boyacá,Páez (Boy),15514
Chocó,Union Panamericana,27810
Boyacá,Cerinza,15162
Norte de Santander,El Tarra,54250
Antioquia,Montebello,5467
Bolívar,Arroyohondo,13062
Cundinamarca,Fosca,25281
Bolívar,Cantagallo,13160
Tolima,Palocabildo,73520
Antioquia,Belmira,5086
Cundinamarca,Supatá,25777
Putumayo,Santiago (Put),86760
Boyacá,Guicán,15332
Meta,Puerto Lleras,50577
Boyacá,Viracachá,15879
Nariño,El Peñol,52254
Antioquia,Giraldo,5306
Bolívar,San Jacinto Del Cauca,13655
Magdalena,Sabanas De San Angel,47660
Norte de Santander,Chitagá,54174
Magdalena,Zapayan,47960
Chocó,Acandí,27006
Santander,La Belleza,68377
Boyacá,Mongua,15464
Meta,La Macarena,50350
Tolima,Herveo,73347
Boyacá,Sativanorte,15720
Nariño,Leiva,52405
Tolima,Villarrica,73873
Cauca,San Sebastián,19693
Santander,Contratación,68211
Bolívar,Río Viejo,13600
Chocó,Rio Quito,27600
Boyacá,Buenavista (Boy),15109
Magdalena,Cerro de San Antonio,47161
Santander,Güepsa,68327
Nariño,Funes,52287
Tolima,Piedras,73547
Antioquia,Uramita,5842
Antioquia,Caracolí,5142
Boyacá,Motavita,15476
Cundinamarca,El Peñon ,13268
Boyacá,Maripí,15442
Cundinamarca,Cabrera ,25120
Quindío,Córdoba ,63212
Chocó,Nuquí,27495
Boyacá,Socotá,15755
Antioquia,Pequé,5543
Bolívar,Altos del Rosario,13030
Cundinamarca,Vergara,25862
Huila,Baraya,41078
Tolima,Santa Isabel,73686
Boyacá,Cubará,15223
Chocó,Certegui,27160
Casanare,Sabanalarga (Cas),85300
Boyacá,San Luis de Gaceno,15667
Boyacá,San Mateo,15673
Cundinamarca,Villagómez,25871
Cundinamarca,Venecia ,25506
Cundinamarca,Quebradanegra,25592
Cundinamarca,Manta,25436
Caldas,Norcasia,17495
Chocó,Lloró,27413
Norte de Santander,La Esperanza,54385
Nariño,Sapuyes,52720
Boyacá,San Miguel de Sema,15676
Bolívar,Regidor,13580
Cundinamarca,Utica,25851
Cundinamarca,Guayabal de Síquima,25328
Tolima,Valle de San Juan,73854
Boyacá,Ráquira,15600
Antioquia,Heliconia,5347
Valle del Cauca,Argelia (Val),76054
Cundinamarca,Sutatausa,25781
Chocó,Atrato,27050
Casanare,San Luis de Palenque,85325
Boyacá,Chiscas,15180
Meta,Puerto Rico (Met),50590
Boyacá,Nuevo Colón,15494
Cundinamarca,Guayabetal,25335
Antioquia,Carolina del Principe,5150
Boyacá,Tota,15822
Huila,Teruel,41801
Nariño,La Tola,52390
Meta,El Dorado,50270
Nariño,Cumbitara,52233
Boyacá,Chíquiza,15232
Boyacá,Sutamarchán,15776
Huila,Paicol,41518
Antioquia,Caramanta,5145
Santander,Puerto Parra,68573
Meta,San Luis de Cubarral,50223
San Andrés y Providencia,Providencia (S.A.),88564
Santander,Guaca,68318
Cundinamarca,Topaipí,25823
Huila,Hobo,41349
Boyacá,Cucaita,15224
Antioquia,Concepción ,5206
Cundinamarca,Zipacón,25898
